record_id,entity_id,entity_name,entity_first_name,committee_name,entity_type,office_name,office_id,office_type_id,party_name,party_id,cash_balance,income,expense,ie_support,ie_opposition,bme_for,bme_against,committee_status,registration_date,termination_date,committee_address,mailing_address,phone,email,chairman,treasurer,candidate,designee,is_primary_record,record_source,record_date,created_at
5728,201200424,"Worsley, Robert",,Bob Worsley for State Senate,Candidate (not participating in Clean Elections),State Senator - District No. 25,3125,,Republican,30,0.00,967340.90,958989.56,52057.31,462.54,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5727,100049,"Workman, Mark",,MarkWorkman4Senator<br>(Clean Elections),Candidate (participating in Clean Elections),State Senator - District No. 2,3102,,Republican,30,0.00,36349.62,36349.62,0.00,6.31,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5726,201400778,"Woolsey, James Curtis",,Arizona for Woolsey for Governor,$500 Threshold (Candidate),Governor,2000,,Democratic,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5725,201400503,"Woolsey, James Curtis",,Arizona for Woolsey for Governor,$500 Threshold (Candidate),Governor,2000,,Democratic,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5724,201200661,"Woolley, Donald Taylor",,Don Woolley for Senate,$500 Threshold (Candidate),State Senator - District No. 2,3102,,Republican,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5722,201400536,"Woods, Larry",,WoodsforAZHouse<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 22,3222,,Democratic,10,0.00,16236.89,16236.89,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5723,201400797,"Woods, Larry",,WoodsforAZHouse<br>(Clean Elections),Candidate (participating in Clean Elections),State Representative - District 22,3222,,Democratic,10,0.00,20573.27,20573.27,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5721,100582,"Woods, Kara",,Kara Woods for Arizona Education,Candidate (not participating in Clean Elections),Superintendent of Public Instruction,2040,,Republican,30,0.00,5075.00,5075.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5720,201400622,"Woodmansee, Terri Lee",,Woodmansee for AZ Senate<br>(Clean Elections),Candidate (participating in Clean Elections),State Senator - District No. 13,3113,,Democratic,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5719,201200607,"Woodmansee, Terri Lee",,Woodmansee for AZ Senate<br>(Clean Elections),Candidate (participating in Clean Elections),State Senator - District No. 13,3113,,Democratic,10,0.00,24686.04,24686.04,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5718,201000073,"Wood, Janelle L.",,Committee to Elect Janelle Wood For Governor,Candidate (Exploratory),Governor,2000,,Other,1000,0.00,4505.79,4335.79,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5714,100992,"Wood, Janelle",,Janelle Wood for State Senator - District No. 11,Candidate (not participating in Clean Elections),State Representative - District 11,3211,,Democratic,10,0.00,13023.33,21004.35,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5715,101107,"Wood, Janelle",,Janelle Wood for State Senator - District No. 11,Candidate (not participating in Clean Elections),State Senator - District No. 11,3111,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5716,201400556,"Wood, Janelle",,Committee for Janelle Wood,Candidate (not participating in Clean Elections),Governor,2000,,Americans Elect,8,0.00,2265.80,2265.80,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5717,201400806,"Wood, Janelle",,Committee for Janelle Wood,Candidate (not participating in Clean Elections),Governor,2000,,Americans Elect,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5712,100918,"Wood, Janelle",,Janelle Wood for State Representative - District 27,Candidate (not participating in Clean Elections),State Representative - District 27,3227,,Democratic,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5713,100992,"Wood, Janelle",,Janelle Wood for State Senator - District No. 11,Candidate (not participating in Clean Elections),State Senator - District No. 27,3127,,Democratic,10,0.00,13998.00,5755.54,98957.96,1901.31,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5710,101030,"Wood, Daniel",,Daniel Wood for State Senator - District No. 16,Candidate (not participating in Clean Elections),State Senator - District No. 16,3116,,,,0.00,58.01,58.01,0.00,0.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5709,100971,"Wood, Daniel",,Daniel Wood for State Representative - District 11,Candidate (not participating in Clean Elections),State Representative - District 11,3211,,Republican,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5711,101030,"Wood, Daniel",,Daniel Wood for State Senator - District No. 16,Candidate (not participating in Clean Elections),State Senator - District No. 16,3116,,Republican,30,0.00,64.02,64.02,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5707,200810033,"Wong, Barry",,Barry Wong for Corporation Commission,Candidate (not participating in Clean Elections),Corporation Commissioner,2060,,Republican,30,817.41,347627.77,346810.36,3298.33,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
